"Feature Name"|"ID"|"Class"|"County"|"State"|"Latitude"|"Longitude"|"Ele(ft)"|"Map"|"BGN Date"|"Entry Date"|
"Dickinson Square"|"1173253"|"Park"|"Philadelphia"|"PA"|"395540N"|"0750907W"|"23"|"Philadelphia"|""|"02-AUG-1979"
"Disston Park"|"1173298"|"Park"|"Philadelphia"|"PA"|"400117N"|"0750234W"|"33"|"Frankford"|""|"02-AUG-1979"
"Donald Finnegan Playground"|"2741568"|"Park"|"Philadelphia"|"PA"|"395618N"|"0751134W"|"33"|"Philadelphia"|""|"10-OCT-2012"
"Donnelly Park"|"2741569"|"Park"|"Philadelphia"|"PA"|"395544N"|"0750858W"|"20"|"Philadelphia"|""|"10-OCT-2012"
"Dorsey Playground"|"2741570"|"Park"|"Philadelphia"|"PA"|"400118N"|"0750253W"|"36"|"Frankford"|""|"10-OCT-2012"
"Duckrey Playground"|"2741571"|"Park"|"Philadelphia"|"PA"|"395911N"|"0750931W"|"85"|"Philadelphia"|""|"10-OCT-2012"
"Eakins Oval"|"2741572"|"Park"|"Philadelphia"|"PA"|"395750N"|"0751043W"|"43"|"Philadelphia"|""|"10-OCT-2012"
"East Fairmount Park"|"2740946"|"Park"|"Philadelphia"|"PA"|"395856N"|"0751132W"|"118"|"Philadelphia"|""|"01-OCT-2012"
"East Poplar Playground"|"2741573"|"Park"|"Philadelphia"|"PA"|"395801N"|"0750904W"|"36"|"Philadelphia"|""|"10-OCT-2012"
"East Triangle"|"2741574"|"Park"|"Philadelphia"|"PA"|"395727N"|"0751012W"|"30"|"Philadelphia"|""|"10-OCT-2012"
"Eastwick Park"|"1207053"|"Park"|"Philadelphia"|"PA"|"395421N"|"0751414W"|"7"|"Philadelphia"|""|"01-JAN-1990"
"Eastwick Regional Park"|"2741575"|"Park"|"Philadelphia"|"PA"|"395418N"|"0751503W"|"16"|"Lansdowne"|""|"10-OCT-2012"
"Edgar Allan Poe National Historic Site"|"1888911"|"Park"|"Philadelphia"|"PA"|"395743N"|"0750900W"|"43"|"Philadelphia"|""|"06-NOV-2000"
"Elmwood Park"|"1174180"|"Park"|"Philadelphia"|"PA"|"395448N"|"0751416W"|"36"|"Philadelphia"|""|"02-AUG-1979"
"Etting Square"|"2741577"|"Park"|"Philadelphia"|"PA"|"400021N"|"0751027W"|"131"|"Germantown"|""|"10-OCT-2012"
"Fairhill Square"|"1174440"|"Park"|"Philadelphia"|"PA"|"395927N"|"0750821W"|"75"|"Philadelphia"|""|"02-AUG-1979"
"Fairmount Park"|"1174453"|"Park"|"Philadelphia"|"PA"|"395900N"|"0751236W"|"121"|"Philadelphia"|""|"02-AUG-1979"
"Fairmount Park Athletic Field"|"2348265"|"Park"|"Philadelphia"|"PA"|"395927N"|"0751132W"|"115"|"Philadelphia"|""|"23-AUG-2007"
"Fairview Park"|"2741578"|"Park"|"Philadelphia"|"PA"|"400149N"|"0751313W"|"262"|"Germantown"|""|"10-OCT-2012"
"Fernhill Park"|"1174704"|"Park"|"Philadelphia"|"PA"|"400106N"|"0751008W"|"203"|"Germantown"|""|"02-AUG-1979"
"Fisher Park"|"1174819"|"Park"|"Philadelphia"|"PA"|"400236N"|"0750752W"|"180"|"Germantown"|""|"02-AUG-1979"
"Fitler Square"|"2741582"|"Park"|"Philadelphia"|"PA"|"395651N"|"0751047W"|"36"|"Philadelphia"|""|"10-OCT-2012"
"Fitzpatrick Playground"|"2741583"|"Park"|"Philadelphia"|"PA"|"400548N"|"0745815W"|"79"|"Beverly"|""|"10-OCT-2012"
"Fluehr Park"|"2741584"|"Park"|"Philadelphia"|"PA"|"400317N"|"0745923W"|"66"|"Beverly"|""|"10-OCT-2012"
